"","Acanthis_cabaret","Accipiter_gentilis","Actitis_hypoleucos","Aegithalos_caudatus","Anatidae","Anthus_pratensis","Anthus_trivialis","Apodemus","Arvicola_amphibius","Bufo_bufo","Buteo_buteo","Capreolus_capreolus","Carduelis_carduelis","Certhia_familiaris","Cervus_elaphus","Cervus_nippon","Cinclus_cinclus","Columba","Corvidae","Corvus_corax","Corvus_corone","Cuculus_canorus","Curruca_communis","Cyanistes_caeruleus","Dendrocopos_major","Erithacus_rubecula","Fringilla_coelebs","Fulica_atra","Gallinula_chloropus","Garrulus_glandarius","Haematopus_ostralegus","Hirundo_rustica","Lagopus_muta","Lepus_timidus","Lissotriton_helveticus","Lophophanes_cristatus","Loxia_curvirostra","Martes_martes","Meles_meles","Microtus_agrestis","Motacilla_alba","Motacilla_cinerea","Muscicapa_striata","Myodes_glareolus","Myotis_daubentonii","Neomys_fodiens","Numenius_arquata","Oryctolagus_cuniculus","Parus_major","Passer_domesticus","Periparus_ater","Phasianidae","Phylloscopus_trochilus","Pipistrellus_pipistrellus","Pipistrellus_pygmaeus","Plectrophenax_nivalis","Pluvialis_apricaria","Prunella_modularis","Pyrrhula_pyrrhula","Rana_temporaria","Rattus_norvegicus","Regulus_regulus","Saxicola_rubetra","Sciurus_carolinensis","Sciurus_vulgaris","Scolopax_rusticola","Sitta_europaea","Sorex_araneus","Sorex_minutus","Spinus_spinus","Strix_aluco","Sylvia_atricapilla","Tachybaptus_ruficollis","Talpa_europaea","Tringa_nebularia","Troglodytes_troglodytes","Turdus_merula","Turdus_philomelos","Turdus_viscivorus","Vulpes_vulpes"
"NCL00_19",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"NCL00_24",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
"NCL00_25",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0
"NCL00B_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL00B_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL00B_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL00B_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL00B_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL01_19",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"NCL01_20",1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
