blank,sample
NEG01,WB11
NEG01,WB12
NEG01,WB13
NEG01,WB14
NEG01,WB15
NEG01,WC01
NEG01,WF01
NEG01,WF02
NEG01,WF03
NEG01,WF04
NEG01,WF05
NEG01,WF06
NEG01,WF07
NEG01,WF08
NEG01,WG01
NEG01,WG02
NEG01,WG03
NEG01,WBK1
NEG01,WBK3
NEG01,WEB1
NEG01,WEB2
NEG01,WEB4
NEG01,NEG01
NEG01,POS01
NEG02,WB04
NEG02,WB05
NEG02,WB06
NEG02,WB07
NEG02,WB08
NEG02,WB09
NEG02,WB10
NEG02,WBK4
NEG02,WEB3
NEG02,NEG02
NEG02,POS02
NEG03,TB01
NEG03,TB02
NEG03,TB03
NEG03,TB04
NEG03,TB05
NEG03,TB06
NEG03,TB07
NEG03,TB08
NEG03,TB09
NEG03,TB10
NEG03,TB12
NEG03,TB14
NEG03,TB15
NEG03,TB16
NEG03,TB17
NEG03,TC01
NEG03,TC02
NEG03,TC03
NEG03,TC04
NEG03,TBK1
NEG03,TEB1
NEG03,TEB2
NEG03,NEG03
NEG03,POS03
NEG04,WB01
NEG04,WB02
NEG04,WB03
NEG04,WC02
NEG04,WC03
NEG04,WC04
NEG04,WC05
NEG04,TC05
NEG04,TC06
NEG04,TC07
NEG04,TC08
NEG04,TC09
NEG04,TC10
NEG04,TC11
NEG04,TC12
NEG04,TC13
NEG04,TC14
NEG04,TC15
NEG04,TBK2
NEG04,TBK3
NEG04,TEB3
NEG04,TFB1
NEG04,NEG04
NEG04,POS04
NEG05,SF01_1
NEG05,SF01_2
NEG05,SF02_1
NEG05,SF02_2
NEG05,SF03_1
NEG05,SF03_2
NEG05,SF04_1
NEG05,SF04_2
NEG05,SF05_1
NEG05,SF05_2
NEG05,SF06_1
NEG05,SF06_2
NEG05,SF07_1
NEG05,SF07_2
NEG05,SF08_1
NEG05,SF08_2
NEG05,SF09_1
NEG05,SF09_2
NEG05,SF10_1
NEG05,SF10_2
NEG05,NEG05
NEG05,SEB7
NEG05,POS05
NEG05,SEB8
NEG06,SF11_1
NEG06,SF11_2
NEG06,SF12_1
NEG06,SF12_2
NEG06,SG01_1
NEG06,SG01_2
NEG06,SG02_1
NEG06,SG02_2
NEG06,SG03_1
NEG06,SG03_2
NEG06,SG04_1
NEG06,SG04_2
NEG06,SG05_1
NEG06,SG05_2
NEG06,SG06_1
NEG06,SG06_2
NEG06,SG07_1
NEG06,SG07_2
NEG06,SG08_1
NEG06,SG08_2
NEG06,SEB5
NEG06,SEB6
NEG06,POS06
NEG06,NEG06
NEG07,SB01_1
NEG07,SB01_2
NEG07,SB02_1
NEG07,SB02_2
NEG07,SB03_1
NEG07,SB03_2
NEG07,SB04_1
NEG07,SB04_2
NEG07,SB05_1
NEG07,SB05_2
NEG07,SB06_1
NEG07,SB06_2
NEG07,SB07_1
NEG07,SB07_2
NEG07,NEG07
NEG07,POS07
NEG07,SB08_1
NEG07,SB08_2
NEG07,SB14_1
NEG07,SB14_2
NEG07,SB17_1
NEG07,SBK1
NEG07,SBK2
NEG07,SEB4
NEG08,SB09_1
NEG08,SB09_2
NEG08,SB10_1
NEG08,SB10_2
NEG08,SB12_1
NEG08,SB12_2
NEG08,SB15_1
NEG08,SB15_2
NEG08,SB16_1
NEG08,SB16_2
NEG08,SB17_2
NEG08,SC01_1
NEG08,SC01_2
NEG08,SC02_1
NEG08,NEG08
NEG08,POS08
NEG08,SC02_2
NEG08,SC04_1
NEG08,SC04_2
NEG08,SC08_2
NEG08,SC09_1
NEG08,SEB3
NEG08,SEB9
NEG08,SEB10
NEG09,SC03_1
NEG09,SC03_2
NEG09,SC05_1
NEG09,SC05_2
NEG09,SC06_1
NEG09,SC06_2
NEG09,SC07_1
NEG09,SC07_2
NEG09,SC08_1
NEG09,SC09_2
NEG09,SC10_1
NEG09,SC10_2
NEG09,SC11_1
NEG09,SC11_2
NEG09,NEG09
NEG09,POS09
NEG09,SC12_1
NEG09,SC12_2
NEG09,SC13_2
NEG09,SC14_1
NEG09,SC15_1
NEG09,SC15_2
NEG09,SEB1
NEG09,SEB2
NEG10,SC13_1
NEG10,SC14_2
NEG10,PO01_1
NEG10,PO01_2
NEG10,PO02_1
NEG10,PO02_2
NEG10,PO03_1
NEG10,PO03_2
NEG10,PO04_1
NEG10,PO04_2
NEG10,PO05_1
NEG10,NEG10
NEG10,POS10
NEG10,PO05_2
NEG10,POOBK
NEG10,POOEB
NEG10,WB01D
NEG10,WB04D
NEG10,WF01D
NEG10,WF06D
NEG10,TB15D
POOEB,PO01_1
POOEB,PO01_2
POOEB,PO02_1
POOEB,PO02_2
POOEB,PO03_1
POOEB,PO03_2
POOEB,PO04_1
POOEB,PO04_2
POOEB,PO05_1
POOEB,PO05_2
POOEB,POOBK
POOEB,POOEB
POOBK,PO01_1
POOBK,PO01_2
POOBK,PO02_1
POOBK,PO02_2
POOBK,PO03_1
POOBK,PO03_2
POOBK,PO04_1
POOBK,PO04_2
POOBK,PO05_1
POOBK,PO05_2
POOBK,POOBK
POOBK,POOEB
POS01,WB11
POS01,WB12
POS01,WB13
POS01,WB14
POS01,WB15
POS01,WC01
POS01,WF01
POS01,WF02
POS01,WF03
POS01,WF04
POS01,WF05
POS01,WF06
POS01,WF07
POS01,WF08
POS01,WG01
POS01,WG02
POS01,WG03
POS01,WBK1
POS01,WBK3
POS01,WEB1
