,sample,type,habitat,location
,NCL00_2023-05-01,Aud,F,east
,NCL00_2023-05-02,Aud,F,east
,NCL00_2023-05-03,Aud,F,east
,NCL00_2023-05-04,Aud,F,east
,NCL00_2023-05-05,Aud,F,east
,NCL00_2023-06-06,Aud,F,east
,NCL00_2023-06-07,Aud,F,east
,NCL00_2023-06-08,Aud,F,east
,NCL00_2023-06-09,Aud,F,east
,NCL00_2023-06-10,Aud,F,east
,NCL00_2023-06-11,Aud,F,east
,NCL00_2023-06-12,Aud,F,east
,NCL00_2023-06-13,Aud,F,east
,NCL00B_2023-05-02,Cam,F,east
,NCL00B_2023-05-03,Cam,F,east
,NCL00B_2023-05-07,Cam,F,east
,NCL00B_2023-05-08,Cam,F,east
,NCL00B_2023-05-10,Cam,F,east
,NCL00B_2023-05-14,Cam,F,east
,NCL00B_2023-05-15,Cam,F,east
,NCL00B_2023-05-16,Cam,F,east
,NCL00B_2023-05-18,Cam,F,east
,NCL00B_2023-05-20,Cam,F,east
,NCL00B_2023-05-23,Cam,F,east
,NCL00B_2023-05-24,Cam,F,east
,NCL00B_2023-05-26,Cam,F,east
,NCL00B_2023-05-28,Cam,F,east
,NCL00B_2023-05-31,Cam,F,east
,NCL00B_2023-06-01,Cam,F,east
,NCL01_2023-05-01,Aud,G,east
,NCL01_2023-05-02,Aud,G,east
,NCL01_2023-05-03,Aud,G,east
,NCL01_2023-05-04,Aud,G,east
,NCL01_2023-05-05,Aud,G,east
,NCL01_2023-05-06,Aud,G,east
,NCL01_2023-05-07,Aud,G,east
,NCL01_2023-05-08,Aud,G,east
,NCL01_2023-05-09,Aud,G,east
,NCL01_2023-05-10,Aud,G,east
,NCL01_2023-05-11,Aud,G,east
,NCL01_2023-05-12,Aud,G,east
,NCL01_2023-05-13,Aud,G,east
,NCL01_2023-05-14,Aud,G,east
,NCL01_2023-05-15,Aud,G,east
,NCL01_2023-05-16,Aud,G,east
,NCL01_2023-05-17,Aud,G,east
,NCL01_2023-05-18,Aud,G,east
,NCL01_2023-05-19,Aud,G,east
,NCL01_2023-05-20,Aud,G,east
,NCL01_2023-05-21,Aud,G,east
,NCL01_2023-05-22,Aud,G,east
,NCL01_2023-05-23,Aud,G,east
,NCL01_2023-05-24,Aud,G,east
,NCL01_2023-05-25,Aud,G,east
,NCL01_2023-05-26,Aud,G,east
,NCL01_2023-05-27,Aud,G,east
,NCL01_2023-05-28,Aud,G,east
,NCL01_2023-05-29,Aud,G,east
,NCL01_2023-05-30,Aud,G,east
,NCL01_2023-05-31,Aud,G,east
,NCL01_2023-06-01,Aud,G,east
,NCL01_2023-06-02,Aud,G,east
,NCL01_2023-06-03,Aud,G,east
,NCL01_2023-06-04,Aud,G,east
,NCL01_2023-06-06,Aud,G,east
,NCL01_2023-06-07,Aud,G,east
,NCL01_2023-06-08,Aud,G,east
,NCL01_2023-06-09,Aud,G,east
,NCL01_2023-06-10,Aud,G,east
,NCL01_2023-06-11,Aud,G,east
,NCL01_2023-06-12,Aud,G,east
,NCL01_2023-06-13,Aud,G,east
,NCL01A_2023-05-11,Cam,G,east
,NCL01A_2023-05-26,Cam,G,east
,NCL01A_2023-05-28,Cam,G,east
,NCL01B_2023-05-04,Cam,G,east
,NCL01B_2023-05-07,Cam,G,east
,NCL01B_2023-05-08,Cam,G,east
,NCL01B_2023-05-24,Cam,G,east
,NCL01B_2023-05-25,Cam,G,east
,NCL01B_2023-05-31,Cam,G,east
,NCL01B_2023-06-04,Cam,G,east
,NCL01B_2023-06-11,Cam,G,east
,NCL01B_2023-06-20,Cam,G,east
,NCL01B_2023-06-28,Cam,G,east
,NCL03_2023-05-01,Aud,F,east
,NCL03_2023-05-02,Aud,F,east
,NCL03_2023-05-03,Aud,F,east
,NCL03_2023-05-04,Aud,F,east
,NCL03_2023-05-05,Aud,F,east
,NCL03_2023-05-06,Aud,F,east
,NCL03_2023-05-07,Aud,F,east
,NCL03_2023-05-08,Aud,F,east
,NCL03_2023-05-09,Aud,F,east
,NCL03_2023-05-10,Aud,F,east
,NCL03_2023-05-11,Aud,F,east
,NCL03_2023-05-12,Aud,F,east
,NCL03_2023-05-13,Aud,F,east
,NCL03_2023-05-14,Aud,F,east
,NCL03_2023-05-15,Aud,F,east
,NCL03_2023-05-16,Aud,F,east
,NCL03_2023-05-17,Aud,F,east
,NCL03_2023-05-18,Aud,F,east
,NCL03_2023-05-19,Aud,F,east
,NCL03_2023-05-20,Aud,F,east
,NCL03_2023-05-21,Aud,F,east
,NCL03_2023-05-22,Aud,F,east
,NCL03_2023-05-23,Aud,F,east
,NCL03_2023-05-24,Aud,F,east
,NCL03_2023-05-25,Aud,F,east
,NCL03_2023-05-26,Aud,F,east
,NCL03_2023-05-27,Aud,F,east
,NCL03_2023-05-28,Aud,F,east
,NCL03_2023-05-29,Aud,F,east
,NCL03_2023-05-30,Aud,F,east
,NCL03_2023-05-31,Aud,F,east
,NCL03_2023-06-01,Aud,F,east
,NCL03_2023-06-02,Aud,F,east
,NCL03_2023-06-03,Aud,F,east
,NCL03_2023-06-04,Aud,F,east
,NCL03_2023-06-06,Aud,F,east
,NCL03_2023-06-07,Aud,F,east
,NCL03_2023-06-08,Aud,F,east
,NCL03_2023-06-09,Aud,F,east
,NCL03_2023-06-10,Aud,F,east
,NCL03_2023-06-11,Aud,F,east
,NCL03_2023-06-12,Aud,F,east
,NCL03_2023-06-13,Aud,F,east
,NCL03A_2023-05-02,Cam,F,east
,NCL03A_2023-05-07,Cam,F,east
,NCL03A_2023-05-08,Cam,F,east
,NCL03A_2023-05-09,Cam,F,east
,NCL03A_2023-05-10,Cam,F,east
,NCL03A_2023-05-11,Cam,F,east
,NCL03A_2023-05-12,Cam,F,east
,NCL03A_2023-05-14,Cam,F,east
,NCL03A_2023-05-15,Cam,F,east
,NCL03A_2023-05-16,Cam,F,east
,NCL03A_2023-05-18,Cam,F,east
,NCL03A_2023-05-19,Cam,F,east
,NCL03A_2023-05-20,Cam,F,east
,NCL03A_2023-05-21,Cam,F,east
,NCL03A_2023-05-22,Cam,F,east
,NCL03A_2023-05-23,Cam,F,east
,NCL03A_2023-05-24,Cam,F,east
,NCL03A_2023-05-25,Cam,F,east
,NCL03A_2023-05-26,Cam,F,east
,NCL03A_2023-05-27,Cam,F,east
,NCL03A_2023-05-28,Cam,F,east
,NCL03A_2023-05-29,Cam,F,east
,NCL03A_2023-05-30,Cam,F,east
,NCL03A_2023-05-31,Cam,F,east
,NCL03A_2023-06-01,Cam,F,east
,NCL03A_2023-06-02,Cam,F,east
,NCL03A_2023-06-03,Cam,F,east
,NCL03A_2023-06-04,Cam,F,east
,NCL03A_2023-06-05,Cam,F,east
,NCL03A_2023-06-06,Cam,F,east
,NCL03A_2023-06-07,Cam,F,east
,NCL03A_2023-06-08,Cam,F,east
,NCL03A_2023-06-09,Cam,F,east
,NCL03A_2023-06-10,Cam,F,east
,NCL03A_2023-06-11,Cam,F,east
,NCL03A_2023-06-12,Cam,F,east
,NCL03A_2023-06-13,Cam,F,east
,NCL03A_2023-06-14,Cam,F,east
,NCL03A_2023-06-15,Cam,F,east
,NCL03A_2023-06-16,Cam,F,east
,NCL03A_2023-06-17,Cam,F,east
,NCL03A_2023-06-18,Cam,F,east
,NCL03A_2023-06-20,Cam,F,east
,NCL03A_2023-06-21,Cam,F,east
,NCL03A_2023-06-22,Cam,F,east
,NCL03A_2023-06-23,Cam,F,east
,NCL03A_2023-06-24,Cam,F,east
,NCL03A_2023-06-25,Cam,F,east
,NCL03A_2023-06-26,Cam,F,east
,NCL03A_2023-06-27,Cam,F,east
,NCL03A_2023-06-28,Cam,F,east
,NCL03A_2023-06-29,Cam,F,east
,NCL03A_2023-06-30,Cam,F,east
,NCL03B_2023-05-08,Cam,F,east
,NCL03B_2023-05-09,Cam,F,east
,NCL03B_2023-05-10,Cam,F,east
,NCL03B_2023-05-12,Cam,F,east
,NCL03B_2023-05-13,Cam,F,east
,NCL03B_2023-05-14,Cam,F,east
,NCL03B_2023-05-15,Cam,F,east
,NCL03B_2023-05-16,Cam,F,east
,NCL03B_2023-05-17,Cam,F,east
,NCL03B_2023-05-18,Cam,F,east
,NCL03B_2023-05-19,Cam,F,east
,NCL03B_2023-05-20,Cam,F,east
,NCL03B_2023-05-21,Cam,F,east
