site,date,time,species,common_name
NCL01,17/05/2023,10:00:00,Hirundo rustica,Barn Swallow
NCL04,25/05/2023,04:00:00,Corvus corone,Carrion Crow
NCL04,25/05/2023,04:00:00,Corvus corone,Carrion Crow
NCL04,25/05/2023,04:00:00,Corvus corone,Carrion Crow
NCL01,02/05/2023,05:00:00,Periparus ater,Coal Tit
NCL01,03/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,03/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,03/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,03/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,04/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,04/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,04/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,04/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,04/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,04/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,05/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,05/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,05/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,05/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,05/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,05/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,05/05/2023,06:00:00,Periparus ater,Coal Tit
NCL01,06/05/2023,04:00:00,Periparus ater,Coal Tit
NCL01,08/05/2023,21:00:00,Periparus ater,Coal Tit
NCL01,15/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,15/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,15/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,15/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,15/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,15/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,15/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,15/05/2023,16:00:00,Periparus ater,Coal Tit
NCL01,21/05/2023,12:00:00,Periparus ater,Coal Tit
NCL01,23/05/2023,15:00:00,Periparus ater,Coal Tit
NCL01,25/05/2023,21:00:00,Periparus ater,Coal Tit
NCL01,31/05/2023,10:00:00,Periparus ater,Coal Tit
NCL01,07/06/2023,17:00:00,Periparus ater,Coal Tit
NCL01,12/06/2023,05:00:00,Periparus ater,Coal Tit
NCL01,12/06/2023,05:00:00,Periparus ater,Coal Tit
NCL01,12/06/2023,12:00:00,Periparus ater,Coal Tit
NCL03,02/05/2023,04:00:00,Periparus ater,Coal Tit
NCL03,02/05/2023,04:00:00,Periparus ater,Coal Tit
NCL03,02/05/2023,04:00:00,Periparus ater,Coal Tit
NCL03,02/05/2023,04:00:00,Periparus ater,Coal Tit
NCL03,02/05/2023,04:00:00,Periparus ater,Coal Tit
NCL03,02/05/2023,04:00:00,Periparus ater,Coal Tit
NCL03,02/05/2023,04:00:00,Periparus ater,Coal Tit
NCL03,08/05/2023,09:00:00,Periparus ater,Coal Tit
NCL03,10/05/2023,05:00:00,Periparus ater,Coal Tit
NCL03,13/05/2023,15:00:00,Periparus ater,Coal Tit
NCL03,13/05/2023,15:00:00,Periparus ater,Coal Tit
NCL03,13/05/2023,15:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,07:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,07:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,07:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,08:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,13:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,01/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,07:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,07:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,11:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,11:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,12:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,12:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,12:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,12:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,15:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,02/05/2023,17:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,05:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,05:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,05:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,05:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,05:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,05:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,07:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,07:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,08:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,08:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,08:00:00,Periparus ater,Coal Tit
NCL04,03/05/2023,10:00:00,Periparus ater,Coal Tit
NCL04,05/05/2023,05:00:00,Periparus ater,Coal Tit
NCL04,05/05/2023,11:00:00,Periparus ater,Coal Tit
NCL04,05/05/2023,11:00:00,Periparus ater,Coal Tit
NCL04,05/05/2023,13:00:00,Periparus ater,Coal Tit
NCL04,06/05/2023,09:00:00,Periparus ater,Coal Tit
NCL04,07/05/2023,08:00:00,Periparus ater,Coal Tit
NCL04,07/05/2023,09:00:00,Periparus ater,Coal Tit
NCL04,07/05/2023,09:00:00,Periparus ater,Coal Tit
NCL04,07/05/2023,16:00:00,Periparus ater,Coal Tit
NCL04,10/05/2023,06:00:00,Periparus ater,Coal Tit
NCL04,10/05/2023,10:00:00,Periparus ater,Coal Tit
NCL04,10/05/2023,10:00:00,Periparus ater,Coal Tit
NCL04,10/05/2023,16:00:00,Periparus ater,Coal Tit
NCL04,11/05/2023,07:00:00,Periparus ater,Coal Tit
NCL04,11/05/2023,07:00:00,Periparus ater,Coal Tit
