site,date,time,species,common_name
NCL01B,20/06/2023,19:30,Prunella_modularis,Dunnock
NCL08A,03/06/2023,08:00,Turdus merula,Eurasian blackbird
NCL03A,28/05/2023,05:34,Cyanistes_caeruleus,Eurasian blue tit
NCL03B,06/06/2023,07:40,Cyanistes_caeruleus,Eurasian blue tit
NCL03A,23/05/2023,12:19,Accipiter_gentilis,Eurasian goshawk
NCL06B,14/05/2023,15:57,Accipiter_gentilis,Eurasian goshawk
NCL04A,17/06/2023,01:09,Meles_meles,European badger
NCL04A,25/06/2023,01:15,Meles_meles,European badger
NCL04A,28/06/2023,03:05,Meles_meles,European badger
NCL08A,27/06/2023,16:01,Erithacus_rubecula,European robin
NCL03B,17/05/2023,23:53,Vulpes_vulpes,Fox
NCL03B,20/06/2023,19:58,Accipiter_gentilis,Eurasian goshawk
NCL00B,03/05/2023,18:08,Dendrocopos_major,Great Spotted Woodpecker
NCL07A,10/05/2023,08:31,Parus_major,Great tit
NCL09B,12/05/2023,09:19,Parus_major,Mountain hare
NCL04A,18/05/2023,02:40,Lepus_timidus,Mountain hare
NCL04A,21/06/2023,00:45,Lepus_timidus,Mountain hare
NCL04A,24/06/2023,22:33,Lepus_timidus,Mountain hare
NCL01A,26/05/2023,10:25,Passeriformes,Passerine
NCL01A,28/05/2023,09:07,Passeriformes,Passerine
NCL08B,25/05/2023,11:42,Passeriformes,Passerine
NCL00B,02/05/2023,21:05,Martes_martes,Pine Marten
NCL00B,10/05/2023,22:11,Martes_martes,Pine Marten
NCL04A,19/05/2023,21:35,Martes_martes,Pine marten
NCL04A,23/05/2023,09:37,Martes_martes,Pine marten
NCL04A,25/05/2023,08:49,Martes_martes,Pine marten
NCL04A,05/06/2023,00:23,Martes_martes,Pine marten
NCL04A,09/06/2023,17:19,Martes_martes,Pine marten
NCL04A,29/06/2023,11:26,Martes_martes,Pine marten
NCL04B,08/06/2023,18:51,Martes_martes,Pine marten
NCL04B,23/06/2023,10:21,Martes_martes,Pine marten
NCL07B,06/05/2023,08:48,Martes_martes,Pine marten
NCL07B,12/05/2023,21:20,Martes_martes,Pine marten
NCL08A,07/06/2023,17:00,Martes_martes,Pine marten
NCL08A,08/06/2023,12:29,Martes_martes,Pine marten
NCL04A,26/05/2023,10:19,Cervus_elaphus,Red deer
NCL04A,29/05/2023,22:13,Cervus_elaphus,Red deer
NCL04A,29/05/2023,22:37,Cervus_elaphus,Red deer
NCL04A,08/06/2023,10:43,Cervus_elaphus,Red deer
NCL04A,09/06/2023,11:09,Cervus_elaphus,Red deer
NCL04A,11/06/2023,07:23,Cervus_elaphus,Red deer
NCL04A,14/06/2023,09:30,Cervus_elaphus,Red deer
NCL04B,13/05/2023,13:51,Cervus_elaphus,Red deer
NCL04B,26/05/2023,16:27,Cervus_elaphus,Red deer
NCL04B,29/05/2023,15:40,Cervus_elaphus,Red deer
NCL04B,29/05/2023,22:11,Cervus_elaphus,Red deer
NCL04B,30/05/2023,15:30,Cervus_elaphus,Red deer
NCL04B,31/05/2023,21:10,Cervus_elaphus,Red deer
NCL04B,31/05/2023,22:08,Cervus_elaphus,Red deer
NCL04B,02/06/2023,09:47,Cervus_elaphus,Red deer
NCL04B,02/06/2023,10:01,Cervus_elaphus,Red deer
NCL04B,03/06/2023,14:19,Cervus_elaphus,Red deer
NCL04B,04/06/2023,13:37,Cervus_elaphus,Red deer
NCL04B,09/06/2023,11:08,Cervus_elaphus,Red deer
NCL04B,09/06/2023,11:09,Cervus_elaphus,Red deer
NCL04B,10/06/2023,10:53,Cervus_elaphus,Red deer
NCL04B,11/06/2023,07:23,Cervus_elaphus,Red deer
NCL04B,11/06/2023,13:11,Cervus_elaphus,Red deer
NCL04B,22/06/2023,15:12,Cervus_elaphus,Red deer
NCL04B,25/06/2023,17:32,Cervus_elaphus,Red deer
NCL04B,28/06/2023,06:42,Cervus_elaphus,Red deer
NCL06B,30/05/2023,12:10,Cervus_elaphus,Red deer
NCL07A,23/05/2023,17:46,Cervus_elaphus,Red deer
NCL07A,24/05/2023,04:50,Cervus_elaphus,Red deer
NCL07A,24/05/2023,05:26,Cervus_elaphus,Red deer
NCL07A,02/06/2023,10:38,Cervus_elaphus,Red deer
NCL07A,02/06/2023,14:15,Cervus_elaphus,Red deer
NCL07A,05/06/2023,05:59,Cervus_elaphus,Red deer
NCL07A,06/06/2023,13:01,Cervus_elaphus,Red deer
NCL07A,07/06/2023,16:30,Cervus_elaphus,Red deer
NCL07A,08/06/2023,12:28,Cervus_elaphus,Red deer
NCL07A,12/06/2023,11:44,Cervus_elaphus,Red deer
NCL07A,25/06/2023,02:24,Cervus_elaphus,Red deer
NCL07B,24/05/2023,05:25,Cervus_elaphus,Red deer
NCL07B,26/05/2023,16:03,Cervus_elaphus,Red deer
NCL07B,08/06/2023,12:28,Cervus_elaphus,Red deer
NCL08A,02/06/2023,11:21,Cervus_elaphus,Red deer
NCL08B,29/05/2023,17:04,Cervus_elaphus,Red deer
NCL08B,03/06/2023,13:28,Cervus_elaphus,Red deer
NCL04A,02/05/2023,12:36,Sciurus_vulgaris,Red squirrel
NCL04A,10/06/2023,08:14,Sciurus_vulgaris,Red squirrel
NCL04B,10/06/2023,08:15,Sciurus_vulgaris,Red squirrel
NCL07B,09/06/2023,11:59,Sciurus_vulgaris,Red squirrel
NCL07B,31/05/2023,13:18,Phasianus_colchicus,Ring-necked pheasant
NCL06B,21/06/2023,07:38,Capreolus_capreolus,Roe deer
NCL06B,27/06/2023,06:31,Capreolus_capreolus,Roe deer
NCL00B,07/05/2023,20:44,Cervus_nippon,Sika deer
NCL00B,08/05/2023,04:24,Cervus_nippon,Sika deer
NCL00B,08/05/2023,16:57,Cervus_nippon,Sika deer
NCL00B,14/05/2023,06:37,Cervus_nippon,Sika deer
NCL00B,15/05/2023,09:55,Cervus_nippon,Sika deer
NCL00B,16/05/2023,13:21,Cervus_nippon,Sika deer
NCL00B,18/05/2023,12:23,Cervus_nippon,Sika deer
NCL00B,20/05/2023,14:06,Cervus_nippon,Sika deer
NCL00B,20/05/2023,14:28,Cervus_nippon,Sika deer
NCL00B,23/05/2023,04:34,Cervus_nippon,Sika deer
NCL00B,23/05/2023,09:23,Cervus_nippon,Sika deer
NCL00B,24/05/2023,09:00,Cervus_nippon,Sika deer
NCL00B,24/05/2023,11:37,Cervus_nippon,Sika deer
NCL00B,24/05/2023,14:32,Cervus_nippon,Sika deer
NCL00B,26/05/2023,17:16,Cervus_nippon,Sika deer
NCL00B,28/05/2023,17:04,Cervus_nippon,Sika deer
NCL00B,31/05/2023,08:28,Cervus_nippon,Sika deer
