node,species,genus,family,order,class,phylum,avonet_mass,Habitat,avonet_primary_lifestyle,amphibio_lifestyle,Locomotion,Activity,eubirds_mass,eubirds_trophic,mammal_diet,pantheria_mass,amphibio,Mass,trophic_traits,Notes.on.traits
Acanthis_cabaret,Acanthis_cabaret,Acanthis,Fringillidae,Passeriformes,Aves,Chordata,12,Forest,Generalist,,Arboreal,Diurnal,13.65,CI,,NA,,13.65,CI,Using Acanthis flammea as a base for trophic traits. Granivore and Invertivore but not imnivore. Classed as arboreal
Accipiter_gentilis,Accipiter_gentilis,Accipiter,Accipitridae,Accipitriformes,Aves,Chordata,866,Forest,Generalist,,Semi-arboreal,Diurnal,931.5,CV,,NA,,931.5,CV,
Actitis_hypoleucos,Actitis_hypoleucos,Actitis,Scolopacidae,Charadriiformes,Aves,Chordata,48,Wetland,Terrestrial,,Semi-aquatic,Diurnal,48,CI,,NA,,48,CI,Avonet classed as terrestrial but feeds in water so semi-aquatic
Aegithalos_caudatus,Aegithalos_caudatus,Aegithalos,Aegithalidae,Passeriformes,Aves,Chordata,8.6,Forest,Insessorial,,Arboreal,Diurnal,8.5,CI,,NA,,8.5,CI,
Anatidae,Anatidae,,Anatidae,Anseriformes,Aves,Chordata,613.4,Wetland,Aquatic,Aq?,Semi-aquatic,Diurnal,756.8,O,,NA,,756.8,O,
Anthus_pratensis,Anthus_pratensis,Anthus,Motacillidae,Passeriformes,Aves,Chordata,18.4,Grassland,Terrestrial,,Terrestrial,Diurnal,18.5,CI,,NA,,18.5,CI,
Anthus_trivialis,Anthus_trivialis,Anthus,Motacillidae,Passeriformes,Aves,Chordata,23.3,Woodland,Terrestrial,,Semi-arboreal,Diurnal,22.15,CI,,NA,,22.15,CI,Semi-arboreal- listed as terrestrial in avonet but commonly perches in trees
Apodemus_sylvaticus,Apodemus,Apodemus,Muridae,Rodentia,Mammalia,Chordata,21.9,Forest,,,Terrestrial,Nocturnal,NA,,O,NA,,21.9,O,"Insectivore, Granivore"
Arvicola_amphibius,Arvicola_amphibius,Arvicola,Cricetidae,Rodentia,Mammalia,Chordata,120,Wetland,,,Semi-aquatic,Cathemeral,NA,,H,NA,,120,HG,Omnivore- Folivore
Aythya,Aythya,Aythya,Anatidae,Anseriformes,Aves,Chordata,762.1,Wetland,Aquatic,Aq?,Semi-aquatic,Diurnal,879.5,O,,NA,,879.5,O,
Bufo_bufo,Bufo_bufo,Bufo,Bufonidae,Anura,Amphibia,Chordata,69.6,Wetland,,"Ter, Aqu",Semi-aquatic,Nocturnal,NA,,,NA,CI,69.6,CI,
Buteo_buteo,Buteo_buteo,Buteo,Accipitridae,Accipitriformes,Aves,Chordata,759.1,Grassland,Insessorial,,Semi-arboreal,Diurnal,806.5,CV,,NA,,806.5,CV,
Capreolus_capreolus,Capreolus_capreolus,Capreolus,Cervidae,Artiodactyla,Mammalia,Chordata,22502.01,Forest,,,Terrestrial,Cathemeral,NA,,HF,22502.01,,22502.01,HF,Folivore
Carduelis_carduelis,Carduelis_carduelis,Carduelis,Fringillidae,Passeriformes,Aves,Chordata,16,Woodland,Insessorial,,Arboreal,Diurnal,15.45,HG,,NA,,15.45,HG,
Certhia_familiaris,Certhia_familiaris,Certhia,Certhiidae,Passeriformes,Aves,Chordata,9,Forest,Insessorial,,Arboreal,Diurnal,9.1,CI,,NA,,9.1,CI,
Cervus_elaphus,Cervus_elaphus,Cervus,Cervidae,Artiodactyla,Mammalia,Chordata,79000,Generalist,,,Terrestrial,Cathemeral,NA,,HF,79000,,79000,HF,Folivore
Cervus_nippon,Cervus_nippon,Cervus,Cervidae,Artiodactyla,Mammalia,Chordata,52999.99,Generalist,,,Terrestrial,Cathemeral,NA,,HF,52999.99,,52999.99,HF,Folivore
Cinclus_cinclus,Cinclus_cinclus,Cinclus,Cinclidae,Passeriformes,Aves,Chordata,61.5,Riverine,Generalist,Aq?,Semi-aquatic,Diurnal,60.25,CI,,NA,,60.25,CI,Avonet classed as generalist but hunts in water so semi aquatic
Columba,Columba,Columba,Columbidae,Columbiformes,Aves,Chordata,354.2,Generalist,Terrestrial,,Terrestrial,Diurnal,313,HG,,NA,,373.83,HG,
Corvidae,Corvidae,,Corvidae,Passeriformes,Aves,Chordata,402.4,Forest,Terrestrial,,Terrestrial,Cathemeral,490.15,O,,NA,,490.15,O,
Corvus_corax,Corvus_corax,Corvus,Corvidae,Passeriformes,Aves,Chordata,928,Forest,Terrestrial,,Terrestrial,Diurnal,1217.5,O,,NA,,1217.5,O,
Corvus_corone,Corvus_corone,Corvus,Corvidae,Passeriformes,Aves,Chordata,570,Generalist,Terrestrial,,Terrestrial,Cathemeral,526.85,O,,NA,,526.85,O,
Cuculus_canorus,Cuculus_canorus,Cuculus,Cuculidae,Cuculiformes,Aves,Chordata,111.4,Forest,Insessorial,,Arboreal,Diurnal,111,CI,,NA,,111,CI,
Curruca_communis,Curruca_communis,Curruca,Sylviidae,Passeriformes,Aves,Chordata,15.1,Shrubland,Insessorial,,Semi-arboreal,Diurnal,14.75,CI,,NA,,14.75,CI,
